   ,title,gender_book,author_book,,,,,
106,"Literatura e letramento: espaços, suportes, interfaces, o jogo do livro.",LINGUAGENS,Aparecida Paiva Et Al,,,,,
107,Livros didáticos de Língua Portuguesa - letramento e cidadania,LINGUAGENS,Maria da Graça Costa /Beth Marcuschi,,,,,
108,Livros didáticos de Língua Portuguesa - letramento e cidadania,LINGUAGENS,Maria da Graça Costa /Beth Marcuschi,,,,,
109,Lógica e Linguagem Cotidiana ,LINGUAGENS,Nilson José Machado/Marisa Ortegoza da Cunha,,,,,
110,Lógica e Linguagem Cotidiana ,,Nilson José Machado/Marisa Ortegoza da Cunha,,,,,
111,Novas Tecnologias: Educação e sociedade na era da informação.,FORMAÇÃO DO PROFESSOR,Mozart Linhares da Silva,,,,,
112,Novas Tecnologias: Educação e sociedade na era da informação,FORMAÇÃO DO PROFESSOR,Mozart Linhares da Silva,,,,,
113,O aprendizado da ortografia,LINGUAGENS,Artur Gomes Morais,,,,,
114,O aprendizado da ortografia,LINGUAGENS,Artur Gomes Morais,,,,,
115,O texto escolar: uma história,LINGUAGENS,Antônio Augusto G. Batista,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
116,O texto escolar: uma história,LINGUAGENS,Antônio Augusto G.Batista,,,,,
117,Os filhos da África em Portugal,HISTÓRIA,Neusa Maria M.de Gusmão,,,,,
118,Os filhos da África em Portugal,HISTÓRIA,Neusa Maria M.de Gusmão,,,,,
119,Televisão e educação (fluir e pensar a TV),FORMAÇÃO DO PROFESSOR,Rosa Maria Bueno Fischer,,,,,
120,Televisão e educação (fluir e pensar a TV),FORMAÇÃO DO PROFESSOR,Rosa Maria Bueno Fischer,,,,,
121,A nova lei da educação (LDB – trajetória- limites- pespectativas),TÉCNICO SECRETARIA ESCOLA,Dermeval Saviani,,,,,
122,A nova lei da educação (LDB – trajetória- limites- pespectativas),TÉCNICO SECRETARIA ESCOLA,Dermeval Saviani,,,,,
123,"Educação ambiental – natureza, razão e história",BIOLOGIA,Marília Freitas de Campos Toloni Reis,,,,,
